# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
2.80937e-08 2.29552e-08 7.43549e-09 6.09989e-09 5.20377e-09 4.87576e-09
9.71923e-10 8.52058e-10 1.45221e-10 1.33455e-10 4.10151e-10 3.80573e-10
2.07321e-10 1.82642e-10 3.34322e-11 3.09675e-11 9.55960e-11 8.85612e-11
7.05046e-11 6.22111e-11 1.22136e-11 1.13422e-11 3.35080e-11 3.10244e-11
3.04945e-11 2.69276e-11 5.57609e-12 5.18434e-12 1.46993e-11 1.36061e-11
1.53248e-11 1.35380e-11 2.91950e-12 2.71610e-12 7.44468e-12 6.88998e-12
8.54074e-12 7.54697e-12 1.67971e-12 1.56330e-12 4.16866e-12 3.85770e-12
5.13546e-12 4.53878e-12 1.03588e-12 9.64302e-13 2.51424e-12 2.32657e-12
3.27312e-12 2.89324e-12 6.73988e-13 6.27515e-13 1.60580e-12 1.48588e-12
2.18469e-12 1.93136e-12 4.57605e-13 4.26107e-13 1.07338e-12 9.93193e-13
1.51393e-12 1.33852e-12 3.21033e-13 2.98969e-13 7.44598e-13 6.88965e-13
1.08225e-12 9.56935e-13 2.32263e-13 2.16320e-13 5.32686e-13 4.92882e-13
7.94198e-13 7.02297e-13 1.72608e-13 1.60772e-13 3.91124e-13 3.61896e-13
5.96016e-13 5.27089e-13 1.31154e-13 1.22167e-13 2.93642e-13 2.71699e-13
4.56034e-13 4.03326e-13 1.01492e-13 9.45425e-14 2.24742e-13 2.07947e-13
3.54880e-13 3.13886e-13 7.97435e-14 7.42859e-14 1.74926e-13 1.61854e-13
2.80308e-13 2.47947e-13 6.34702e-14 5.91280e-14 1.38186e-13 1.27861e-13
2.24354e-13 1.98467e-13 5.10852e-14 4.75914e-14 1.10610e-13 1.02346e-13
1.81705e-13 1.60751e-13 4.15229e-14 3.86837e-14 8.95852e-14 8.28927e-14
1.48736e-13 1.31594e-13 3.40475e-14 3.17200e-14 7.33295e-14 6.78521e-14
1.22925e-13 1.08766e-13 2.81396e-14 2.62163e-14 6.06013e-14 5.60752e-14
1.02484e-13 9.06869e-14 2.34317e-14 2.18305e-14 5.05201e-14 4.67475e-14
8.61257e-14 7.62179e-14 1.96675e-14 1.83238e-14 4.24518e-14 3.92823e-14
7.29090e-14 6.45269e-14 1.66415e-14 1.55048e-14 3.59328e-14 3.32503e-14
6.21364e-14 5.49975e-14 1.41903e-14 1.32213e-14 3.06191e-14 2.83338e-14
5.32847e-14 4.71669e-14 1.21878e-14 1.13559e-14 2.62529e-14 2.42939e-14
4.59569e-14 4.06840e-14 1.05374e-14 9.81851e-15 2.26385e-14 2.09495e-14
3.98485e-14 3.52796e-14 9.16570e-15 8.54068e-15 1.96257e-14 1.81617e-14
3.47237e-14 3.07453e-14 8.01628e-15 7.46995e-15 1.70981e-14 1.58230e-14
3.03984e-14 2.69181e-14 7.04586e-15 6.56595e-15 1.49650e-14 1.38492e-14
2.67273e-14 2.36696e-14 6.22086e-15 5.79741e-15 1.31546e-14 1.21740e-14
2.35951e-14 2.08978e-14 5.51501e-15 5.13984e-15 1.16101e-14 1.07449e-14
2.09095e-14 1.85212e-14 4.90757e-15 4.57395e-15 1.02860e-14 9.51959e-15
1.85962e-14 1.64738e-14 4.38205e-15 4.08435e-15 9.14552e-15 8.46427e-15
1.65948e-14 1.47024e-14 3.92519e-15 3.65871e-15 8.15897e-15 7.55138e-15
1.48563e-14 1.31636e-14 3.52625e-15 3.28703e-15 7.30206e-15 6.75842e-15
1.33401e-14 1.18215e-14 3.17649e-15 2.96114e-15 6.55487e-15 6.06699e-15
1.20131e-14 1.06467e-14 2.86868e-15 2.67434e-15 5.90095e-15 5.46187e-15
1.08474e-14 9.61476e-15 2.59686e-15 2.42107e-15 5.32667e-15 4.93043e-15
9.82024e-15 8.70531e-15 2.35606e-15 2.19669e-15 4.82066e-15 4.46217e-15
8.91218e-15 7.90129e-15 2.14210e-15 1.99731e-15 4.37340e-15 4.04827e-15
8.10703e-15 7.18835e-15 1.95151e-15 1.81970e-15 3.97690e-15 3.68134e-15
7.39109e-15 6.55435e-15 1.78148e-15 1.66125e-15 3.62439e-15 3.35511e-15
6.75274e-15 5.98903e-15 1.62954e-15 1.51965e-15 3.31014e-15 3.06429e-15
6.18210e-15 5.48363e-15 1.49353e-15 1.39289e-15 3.02927e-15 2.80435e-15
5.67072e-15 5.03067e-15 1.37152e-15 1.27919e-15 2.77761e-15 2.57144e-15
5.21135e-15 4.62376e-15 1.26186e-15 1.17698e-15 2.55159e-15 2.36226e-15
4.79775e-15 4.25737e-15 1.16307e-15 1.08491e-15 2.34813e-15 2.17396e-15
4.42457e-15 3.92676e-15 1.07389e-15 1.00180e-15 2.16459e-15 2.00409e-15
