# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
3.37248e-07 3.28572e-07 2.31937e-09 2.22163e-09 5.44801e-06 5.26441e-06
2.47395e-08 2.40784e-08 1.83552e-10 1.77711e-10 6.51111e-08 6.30834e-08
5.70113e-09 5.54799e-09 4.80444e-11 4.65941e-11 1.33038e-08 1.28955e-08
1.99035e-09 1.93679e-09 1.82760e-11 1.77345e-11 4.46342e-09 4.32707e-09
8.71524e-10 8.48054e-10 8.49216e-12 8.24288e-12 1.91856e-09 1.86008e-09
4.40981e-10 4.29101e-10 4.48945e-12 4.35837e-12 9.60872e-10 9.31621e-10
2.46807e-10 2.40157e-10 2.59853e-12 2.52293e-12 5.34384e-10 5.18130e-10
1.48823e-10 1.44813e-10 1.60708e-12 1.56039e-12 3.20871e-10 3.11118e-10
9.50446e-11 9.24839e-11 1.04818e-12 1.01776e-12 2.04309e-10 1.98102e-10
6.35348e-11 6.18233e-11 7.12536e-13 6.91877e-13 1.36271e-10 1.32132e-10
4.40801e-11 4.28929e-11 4.99570e-13 4.85075e-13 9.43802e-11 9.15153e-11
3.15417e-11 3.06924e-11 3.61052e-13 3.50563e-13 6.74399e-11 6.53935e-11
2.31657e-11 2.25421e-11 2.68114e-13 2.60320e-13 4.94735e-11 4.79729e-11
1.73976e-11 1.69294e-11 2.03662e-13 1.97741e-13 3.71179e-11 3.59925e-11
1.33203e-11 1.29619e-11 1.57623e-13 1.53043e-13 2.83940e-11 2.75334e-11
1.03719e-11 1.00930e-11 1.23906e-13 1.20309e-13 2.20917e-11 2.14225e-11
8.19719e-12 7.97683e-12 9.86935e-14 9.58322e-14 1.74469e-11 1.69185e-11
6.56456e-12 6.38816e-12 7.95091e-14 7.72077e-14 1.39624e-11 1.35398e-11
5.31955e-12 5.17667e-12 6.46948e-14 6.28257e-14 1.13070e-11 1.09649e-11
4.35672e-12 4.23976e-12 5.31091e-14 5.15778e-14 9.25464e-12 8.97476e-12
3.60263e-12 3.50595e-12 4.39474e-14 4.26829e-14 7.64807e-12 7.41689e-12
3.00520e-12 2.92460e-12 3.66396e-14 3.55877e-14 6.37592e-12 6.18328e-12
2.52692e-12 2.45918e-12 3.07849e-14 2.99029e-14 5.35796e-12 5.19617e-12
2.14036e-12 2.08301e-12 2.60668e-14 2.53210e-14 4.53558e-12 4.39869e-12
1.82516e-12 1.77629e-12 2.22355e-14 2.16001e-14 3.86533e-12 3.74873e-12
