# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
5.75078e-08 5.10961e-08 1.69266e-09 1.41411e-09 4.93085e-08 4.58214e-08
3.54885e-09 3.16755e-09 9.33942e-11 8.33865e-11 3.24621e-09 2.97627e-09
7.98431e-10 7.13142e-10 2.34484e-11 2.11006e-11 7.36547e-10 6.74100e-10
2.76393e-10 2.46933e-10 8.80279e-12 7.94324e-12 2.55715e-10 2.33890e-10
1.20536e-10 1.07703e-10 4.06725e-12 3.67474e-12 1.11669e-10 1.02109e-10
6.08506e-11 5.43770e-11 2.14365e-12 1.93805e-12 5.64143e-11 5.15765e-11
3.40077e-11 3.03918e-11 1.23807e-12 1.11990e-12 3.15411e-11 2.88337e-11
2.04862e-11 1.83091e-11 7.65249e-13 6.92367e-13 1.90047e-11 1.73724e-11
1.30740e-11 1.16852e-11 4.98740e-13 4.51321e-13 1.21300e-11 1.10878e-11
8.73474e-12 7.80735e-12 3.38998e-13 3.06827e-13 8.10449e-12 7.40800e-12
6.05739e-12 5.41456e-12 2.37885e-13 2.15347e-13 5.62033e-12 5.13727e-12
4.33272e-12 3.87314e-12 1.72100e-13 1.55818e-13 4.01995e-12 3.67444e-12
3.18108e-12 2.84383e-12 1.27896e-13 1.15809e-13 2.95125e-12 2.69759e-12
2.38828e-12 2.13521e-12 9.71903e-14 8.80137e-14 2.21552e-12 2.02512e-12
1.82804e-12 1.63444e-12 7.52278e-14 6.81299e-14 1.69561e-12 1.54990e-12
1.42303e-12 1.27241e-12 5.91280e-14 5.35525e-14 1.31976e-12 1.20637e-12
1.12436e-12 1.00543e-12 4.70822e-14 4.26448e-14 1.04261e-12 9.53040e-13
9.00187e-13 8.05026e-13 3.79142e-14 3.43423e-14 8.34591e-13 7.62910e-13
7.29273e-13 6.52232e-13 3.08343e-14 2.79305e-14 6.76007e-13 6.17958e-13
5.97121e-13 5.34085e-13 2.52982e-14 2.29166e-14 5.53396e-13 5.05888e-13
4.93638e-13 4.41564e-13 2.09216e-14 1.89527e-14 4.57392e-13 4.18136e-13
4.11668e-13 3.68274e-13 1.74324e-14 1.57923e-14 3.81353e-13 3.48632e-13
3.46058e-13 3.09609e-13 1.46401e-14 1.32633e-14 3.20496e-13 2.93005e-13
2.93038e-13 2.62198e-13 1.23931e-14 1.12281e-14 2.71322e-13 2.48056e-13
2.49815e-13 2.23546e-13 1.05709e-14 9.57788e-15 2.31239e-13 2.11417e-13
2.14293e-13 1.91779e-13 9.08096e-15 8.22845e-15 1.98301e-13 1.81309e-13
1.84881e-13 1.65475e-13 7.85208e-15 7.11552e-15 1.71033e-13 1.56382e-13
1.60359e-13 1.43543e-13 6.83009e-15 6.18994e-15 1.48301e-13 1.35602e-13
1.39783e-13 1.25138e-13 5.97341e-15 5.41407e-15 1.29229e-13 1.18168e-13
1.22413e-13 1.09601e-13 5.25001e-15 4.75888e-15 1.13132e-13 1.03453e-13
1.07668e-13 9.64108e-14 4.63497e-15 4.20181e-15 9.94694e-14 9.09625e-14
9.50853e-14 8.51540e-14 4.10880e-15 3.72521e-15 8.78119e-14 8.03054e-14
8.42947e-14 7.54999e-14 3.65608e-15 3.31510e-15 7.78166e-14 7.11675e-14
7.49982e-14 6.71820e-14 3.26451e-15 2.96036e-15 6.92067e-14 6.32961e-14
6.69540e-14 5.99839e-14 2.92420e-15 2.65205e-15 6.17579e-14 5.64859e-14
5.99646e-14 5.37294e-14 2.62714e-15 2.38289e-15 5.52870e-14 5.05698e-14
5.38681e-14 4.82734e-14 2.36680e-15 2.14698e-15 4.96439e-14 4.54103e-14
4.85309e-14 4.34966e-14 2.13777e-15 1.93943e-15 4.47045e-14 4.08942e-14
4.38420e-14 3.92997e-14 1.93559e-15 1.75619e-15 4.03661e-14 3.69274e-14
3.97091e-14 3.56002e-14 1.75655e-15 1.59391e-15 3.65428e-14 3.34315e-14
3.60547e-14 3.23287e-14 1.59752e-15 1.44976e-15 3.31630e-14 3.03410e-14
