#    L    TT             EE             BB             TE          
     2   0.105644E+04   0.375203E-01   0.180893E-05   0.293489E+01
     3   0.999767E+03   0.533281E-01   0.361837E-05   0.342567E+01
     4   0.944361E+03   0.519824E-01   0.603177E-05   0.333510E+01
     5   0.902153E+03   0.396087E-01   0.904981E-05   0.294643E+01
     6   0.872548E+03   0.251107E-01   0.126733E-04   0.245668E+01
     7   0.853069E+03   0.141864E-01   0.169033E-04   0.198215E+01
     8   0.840848E+03   0.815415E-02   0.217409E-04   0.158376E+01
     9   0.834363E+03   0.564315E-02   0.271874E-04   0.128176E+01
    10   0.832181E+03   0.474143E-02   0.332441E-04   0.107930E+01
    11   0.832867E+03   0.421894E-02   0.399127E-04   0.967634E+00
    12   0.836944E+03   0.379909E-02   0.471947E-04   0.932107E+00
    13   0.842716E+03   0.326294E-02   0.550918E-04   0.947375E+00
    14   0.849257E+03   0.303154E-02   0.636059E-04   0.987493E+00
    15   0.856954E+03   0.307840E-02   0.727387E-04   0.104168E+01
    16   0.866311E+03   0.325741E-02   0.824922E-04   0.110382E+01
    17   0.877294E+03   0.361210E-02   0.928684E-04   0.116809E+01
    18   0.888978E+03   0.404824E-02   0.103869E-03   0.123111E+01
    19   0.902183E+03   0.457975E-02   0.115496E-03   0.129219E+01
    20   0.915226E+03   0.528868E-02   0.127752E-03   0.134937E+01
    21   0.928478E+03   0.615419E-02   0.140638E-03   0.140734E+01
    22   0.942242E+03   0.720945E-02   0.154157E-03   0.146993E+01
    23   0.956337E+03   0.844707E-02   0.168309E-03   0.153581E+01
    24   0.970826E+03   0.982482E-02   0.183098E-03   0.160245E+01
    25   0.985667E+03   0.113727E-01   0.198524E-03   0.166769E+01
    26   0.100069E+04   0.130925E-01   0.214590E-03   0.173072E+01
    27   0.101612E+04   0.149656E-01   0.231296E-03   0.178871E+01
    28   0.103183E+04   0.169982E-01   0.248644E-03   0.183981E+01
    29   0.104785E+04   0.192035E-01   0.266636E-03   0.188315E+01
    30   0.106408E+04   0.216030E-01   0.285272E-03   0.191720E+01
    31   0.108041E+04   0.242068E-01   0.304553E-03   0.194304E+01
    32   0.109709E+04   0.270110E-01   0.324481E-03   0.196161E+01
    33   0.111412E+04   0.300162E-01   0.345057E-03   0.197080E+01
    34   0.113133E+04   0.332373E-01   0.366280E-03   0.196952E+01
    35   0.114868E+04   0.366943E-01   0.388151E-03   0.196057E+01
    36   0.116608E+04   0.404082E-01   0.410671E-03   0.194571E+01
    37   0.118358E+04   0.443667E-01   0.433839E-03   0.192225E+01
    38   0.120147E+04   0.485594E-01   0.457656E-03   0.188891E+01
    39   0.121975E+04   0.529901E-01   0.482121E-03   0.184534E+01
    40   0.123814E+04   0.576719E-01   0.507235E-03   0.179128E+01
    41   0.125677E+04   0.626209E-01   0.532997E-03   0.172616E+01
    42   0.127540E+04   0.678464E-01   0.559406E-03   0.164917E+01
    43   0.129417E+04   0.733557E-01   0.586461E-03   0.155945E+01
    44   0.131293E+04   0.791411E-01   0.614163E-03   0.145703E+01
    45   0.133204E+04   0.852055E-01   0.642510E-03   0.134200E+01
    46   0.135143E+04   0.915533E-01   0.671502E-03   0.121268E+01
    47   0.137096E+04   0.981817E-01   0.701136E-03   0.107004E+01
    48   0.139056E+04   0.105093E+00   0.731414E-03   0.918379E+00
    49   0.141031E+04   0.112268E+00   0.762332E-03   0.761415E+00
    50   0.143045E+04   0.119679E+00   0.793891E-03   0.596069E+00
    51   0.145074E+04   0.127296E+00   0.826089E-03   0.417784E+00
    52   0.147142E+04   0.135206E+00   0.858926E-03   0.221706E+00
    53   0.149210E+04   0.143560E+00   0.892399E-03   0.475965E-02
    54   0.151271E+04   0.152352E+00   0.926509E-03  -0.228162E+00
    55   0.153344E+04   0.161563E+00   0.961254E-03  -0.472048E+00
    56   0.155453E+04   0.171049E+00   0.996633E-03  -0.728126E+00
    57   0.157591E+04   0.180701E+00   0.103265E-02  -0.996258E+00
    58   0.159758E+04   0.190524E+00   0.106929E-02  -0.127720E+01
